"id","cate","YearQuarter","PCE","date","Year","Quarter","Inflation"
"1","Personal consumption expenditures (PCE)","2018 Q4",108.961,2018-10-01,"2018","Q4",2.0062161807935
"1","Personal consumption expenditures (PCE)","2019 Q1",109.188,2019-01-01,"2019","Q1",1.48715470126781
"1","Personal consumption expenditures (PCE)","2019 Q2",109.857,2019-04-01,"2019","Q2",1.56333783259065
"1","Personal consumption expenditures (PCE)","2019 Q3",110.144,2019-07-01,"2019","Q3",1.46657822978849
"1","Personal consumption expenditures (PCE)","2019 Q4",110.543,2019-10-01,"2019","Q4",1.45189563238224
"1","Personal consumption expenditures (PCE)","2020 Q1",110.946,2020-01-01,"2020","Q1",1.6100670403341
"1","Personal consumption expenditures (PCE)","2020 Q2",110.445,2020-04-01,"2020","Q2",0.535241268194101
"1","Personal consumption expenditures (PCE)","2020 Q3",111.366,2020-07-01,"2020","Q3",1.1094567112144
"1","Personal consumption expenditures (PCE)","2020 Q4",111.821,2020-10-01,"2020","Q4",1.15611119654794
"1","Personal consumption expenditures (PCE)","2021 Q1",113.059,2021-01-01,"2021","Q1",1.90453013177582
"1","Personal consumption expenditures (PCE)","2021 Q2",114.838,2021-04-01,"2021","Q2",3.97754538458056
"1","Personal consumption expenditures (PCE)","2021 Q3",116.413,2021-07-01,"2021","Q3",4.53190381265377
"1","Personal consumption expenditures (PCE)","2021 Q4",118.173,2021-10-01,"2021","Q4",5.68050723924845
"1","Personal consumption expenditures (PCE)","2022 Q1",120.323,2022-01-01,"2022","Q1",6.42496395687207
"1","Personal consumption expenditures (PCE)","2022 Q2",122.459,2022-04-01,"2022","Q2",6.63630505581777
"1","Personal consumption expenditures (PCE)","2022 Q3",123.76,2022-07-01,"2022","Q3",6.31115081648957
"1","Personal consumption expenditures (PCE)","2022 Q4",124.725,2022-10-01,"2022","Q4",5.54441369856058
