"Year","Month","CPI","Date","Inflation"
2005,"Mar",193.3,2005-03-01,3.14834578441836
2005,"Apr",194.6,2005-04-01,3.51063829787234
2005,"May",194.4,2005-05-01,2.80274986779482
2005,"Jun",194.5,2005-06-01,2.53031101739589
2005,"Jul",195.4,2005-07-01,3.16789862724393
2005,"Aug",196.4,2005-08-01,3.64116094986808
2005,"Sep",198.8,2005-09-01,4.68667719852554
2005,"Oct",199.2,2005-10-01,4.34782608695651
2005,"Nov",197.6,2005-11-01,3.45549738219895
2005,"Dec",196.8,2005-12-01,3.41565948502365
2006,"Jan",198.3,2006-01-01,3.98531725222864
2006,"Feb",198.7,2006-02-01,3.59749739311782
2006,"Mar",199.8,2006-03-01,3.36264873254009
2006,"Apr",201.5,2006-04-01,3.54573484069887
2006,"May",202.5,2006-05-01,4.16666666666666
2006,"Jun",202.9,2006-06-01,4.31876606683805
2006,"Jul",203.5,2006-07-01,4.1453428863869
2006,"Aug",203.9,2006-08-01,3.81873727087576
2006,"Sep",202.9,2006-09-01,2.06237424547283
2006,"Oct",201.8,2006-10-01,1.30522088353415
2006,"Nov",201.5,2006-11-01,1.97368421052632
2006,"Dec",201.8,2006-12-01,2.54065040650406
2007,"Jan",202.416,2007-01-01,2.07564296520423
2007,"Feb",203.499,2007-02-01,2.41519879214897
2007,"Mar",205.352,2007-03-01,2.77877877877877
2007,"Apr",206.686,2007-04-01,2.57369727047147
2007,"May",207.949,2007-05-01,2.69086419753087
2007,"Jun",208.352,2007-06-01,2.68703794972893
2007,"Jul",208.299,2007-07-01,2.35823095823096
2007,"Aug",207.917,2007-08-01,1.97008337420304
2007,"Sep",208.49,2007-09-01,2.75505174963036
2007,"Oct",208.936,2007-10-01,3.53617443012884
2007,"Nov",210.177,2007-11-01,4.30620347394541
2007,"Dec",210.036,2007-12-01,4.0812685827552
2008,"Jan",211.08,2008-01-01,4.28029404790136
2008,"Feb",211.693,2008-02-01,4.02655541304872
2008,"Mar",213.528,2008-03-01,3.9814562312517
2008,"Apr",214.823,2008-04-01,3.93688977482752
2008,"May",216.632,2008-05-01,4.17554304180352
2008,"Jun",218.815,2008-06-01,5.02179004761173
2008,"Jul",219.964,2008-07-01,5.60012290025396
2008,"Aug",219.086,2008-08-01,5.37185511526235
2008,"Sep",218.783,2008-09-01,4.9369274305722
2008,"Oct",216.573,2008-10-01,3.6551862771375
2008,"Nov",212.425,2008-11-01,1.06957469180739
2008,"Dec",210.228,2008-12-01,0.0914129006456071
2009,"Jan",211.143,2009-01-01,0.0298465036952758
2009,"Feb",212.193,2009-02-01,0.236191088037866
2009,"Mar",212.709,2009-03-01,-0.383556254917382
2009,"Apr",213.24,2009-04-01,-0.736885715216713
2009,"May",213.856,2009-05-01,-1.28143579895861
2009,"Jun",215.693,2009-06-01,-1.42677604368987
2009,"Jul",215.351,2009-07-01,-2.09716135367606
2009,"Aug",215.834,2009-08-01,-1.4843486119606
2009,"Sep",215.969,2009-09-01,-1.28620596664274
2009,"Oct",216.177,2009-10-01,-0.18284827748612
2009,"Nov",216.33,2009-11-01,1.83829586913028
2009,"Dec",215.949,2009-12-01,2.72133112620584
2010,"Jan",216.687,2010-01-01,2.62570864295762
2010,"Feb",216.741,2010-02-01,2.14333177814537
2010,"Mar",217.631,2010-03-01,2.31395944694395
2010,"Apr",218.009,2010-04-01,2.23644719564809
2010,"May",218.178,2010-05-01,2.02098608409397
2010,"Jun",217.965,2010-06-01,1.05334897284566
2010,"Jul",218.011,2010-07-01,1.23519277830147
2010,"Aug",218.312,2010-08-01,1.1481045618392
2010,"Sep",218.439,2010-09-01,1.14368265815927
2010,"Oct",218.711,2010-10-01,1.17218760552696
2010,"Nov",218.803,2010-11-01,1.14316091157028
2010,"Dec",219.179,2010-12-01,1.49572352731431
2011,"Jan",220.223,2011-01-01,1.63184685744876
2011,"Feb",221.309,2011-02-01,2.10758462865816
2011,"Mar",223.467,2011-03-01,2.68160326424085
2011,"Apr",224.906,2011-04-01,3.16363085927646
2011,"May",225.964,2011-05-01,3.56864578463456
2011,"Jun",225.722,2011-06-01,3.55882825224233
2011,"Jul",225.922,2011-07-01,3.62871598222108
2011,"Aug",226.545,2011-08-01,3.77120817911978
2011,"Sep",226.889,2011-09-01,3.8683568410403
2011,"Oct",226.421,2011-10-01,3.5251999213574
2011,"Nov",226.23,2011-11-01,3.39437759080085
2011,"Dec",225.672,2011-12-01,2.96241884487109
2012,"Jan",226.665,2012-01-01,2.92521671215086
2012,"Feb",227.663,2012-02-01,2.87109878043822
2012,"Mar",229.392,2012-03-01,2.65139819302178
2012,"Apr",230.085,2012-04-01,2.30273981129894
2012,"May",229.815,2012-05-01,1.7042537749376
2012,"Jun",229.478,2012-06-01,1.66399376223851
2012,"Jul",229.104,2012-07-01,1.40845070422536
2012,"Aug",230.379,2012-08-01,1.69237899755016
2012,"Sep",231.407,2012-09-01,1.99128208066499
2012,"Oct",231.317,2012-10-01,2.16234359887114
2012,"Nov",230.221,2012-11-01,1.76413384608585
2012,"Dec",229.601,2012-12-01,1.74102236874756
2013,"Jan",230.28,2013-01-01,1.59486466812256
2013,"Feb",232.166,2013-02-01,1.97792350974905
2013,"Mar",232.773,2013-03-01,1.47389621259678
2013,"Apr",232.531,2013-04-01,1.06308538148945
2013,"May",232.945,2013-05-01,1.36196505885168
2013,"Jun",233.504,2013-06-01,1.75441654537689
2013,"Jul",233.596,2013-07-01,1.9606816118444
2013,"Aug",233.877,2013-08-01,1.5183675595432
2013,"Sep",234.149,2013-09-01,1.18492526155215
2013,"Oct",233.546,2013-10-01,0.963612704643405
2013,"Nov",233.069,2013-11-01,1.2370722045339
2013,"Dec",233.049,2013-12-01,1.50173561961838
2014,"Jan",233.916,2014-01-01,1.57894736842105
2014,"Feb",234.781,2014-02-01,1.12634925010553
2014,"Mar",236.293,2014-03-01,1.51220287576309
2014,"Apr",237.072,2014-04-01,1.95285789851676
2014,"May",237.9,2014-05-01,2.12711154993669
2014,"Jun",238.343,2014-06-01,2.07234137316705
2014,"Jul",238.25,2014-07-01,1.99232863576431
2014,"Aug",237.852,2014-08-01,1.69961133416283
2014,"Sep",238.031,2014-09-01,1.65791867571504
2014,"Oct",237.433,2014-10-01,1.66434021563204
2014,"Nov",236.151,2014-11-01,1.3223551823709
2014,"Dec",234.812,2014-12-01,0.75649326965574
2015,"Jan",233.707,2015-01-01,-0.0893483130696503
2015,"Feb",234.722,2015-02-01,-0.0251298018153077
2015,"Mar",236.119,2015-03-01,-0.0736373908664271
2015,"Apr",236.599,2015-04-01,-0.199517446176695
2015,"May",237.805,2015-05-01,-0.0399327448507772
2015,"Jun",238.638,2015-06-01,0.123771203685452
2015,"Jul",238.654,2015-07-01,0.16956977964323
2015,"Aug",238.316,2015-08-01,0.195079293005734
2015,"Sep",237.945,2015-09-01,-0.0361297478059634
2015,"Oct",237.838,2015-10-01,0.170574435735555
2015,"Nov",237.336,2015-11-01,0.501797578667887
2015,"Dec",236.525,2015-12-01,0.729519786041597
2016,"Jan",236.916,2016-01-01,1.37308681383099
2016,"Feb",237.111,2016-02-01,1.01779978016546
2016,"Mar",238.132,2016-03-01,0.852536221142731
2016,"Apr",239.261,2016-04-01,1.12511041889442
2016,"May",240.229,2016-05-01,1.01932255419356
2016,"Jun",241.018,2016-06-01,0.997326494523083
2016,"Jul",240.628,2016-07-01,0.827138870498709
2016,"Aug",240.849,2016-08-01,1.06287450276103
2016,"Sep",241.428,2016-09-01,1.46378364748156
2016,"Oct",241.729,2016-10-01,1.63598752091761
2016,"Nov",241.353,2016-11-01,1.69253716250379
2016,"Dec",241.432,2016-12-01,2.07462213296691
2017,"Jan",242.839,2017-01-01,2.500042209053
2017,"Feb",243.603,2017-02-01,2.73795817148931
2017,"Mar",243.801,2017-03-01,2.38061243344027
2017,"Apr",244.524,2017-04-01,2.1996898784173
2017,"May",244.733,2017-05-01,1.87487772084136
2017,"Jun",244.955,2017-06-01,1.63348795525646
2017,"Jul",244.786,2017-07-01,1.7279784563725
2017,"Aug",245.519,2017-08-01,1.93897421205818
2017,"Sep",246.819,2017-09-01,2.23296386500323
2017,"Oct",246.663,2017-10-01,2.04112870197618
2017,"Nov",246.669,2017-11-01,2.20258293868317
2017,"Dec",246.524,2017-12-01,2.10908247456841
2018,"Jan",247.867,2018-01-01,2.07050762027516
2018,"Feb",248.991,2018-02-01,2.21179542123866
2018,"Mar",249.554,2018-03-01,2.35971140397292
2018,"Apr",250.546,2018-04-01,2.4627439433348
2018,"May",251.588,2018-05-01,2.80101171480756
2018,"Jun",251.989,2018-06-01,2.87154783531669
2018,"Jul",252.006,2018-07-01,2.94951508664711
2018,"Aug",252.146,2018-08-01,2.69918010418745
2018,"Sep",252.439,2018-09-01,2.27697219419899
2018,"Oct",252.885,2018-10-01,2.52246992860704
2018,"Nov",252.038,2018-11-01,2.1766010321524
2018,"Dec",251.233,2018-12-01,1.91015884863137
2019,"Jan",251.712,2019-01-01,1.55123513819911
2019,"Feb",252.776,2019-02-01,1.52013526593331
2019,"Mar",254.202,2019-03-01,1.86252274056917
2019,"Apr",255.548,2019-04-01,1.99643977553025
2019,"May",256.092,2019-05-01,1.79022846876639
2019,"Jun",256.143,2019-06-01,1.64848465607624
2019,"Jul",256.571,2019-07-01,1.81146480639351
2019,"Aug",256.558,2019-08-01,1.74977988942914
2019,"Sep",256.759,2019-09-01,1.71130451316953
2019,"Oct",257.346,2019-10-01,1.76404294442138
2019,"Nov",257.208,2019-11-01,2.05127798189163
2019,"Dec",256.974,2019-12-01,2.28512974012171
2020,"Jan",257.971,2020-01-01,2.48657195525045
2020,"Feb",258.678,2020-02-01,2.33487356394594
2020,"Mar",258.115,2020-03-01,1.53932699191982
2020,"Apr",256.389,2020-04-01,0.329096686336817
2020,"May",256.394,2020-05-01,0.117926370210714
2020,"Jun",257.797,2020-06-01,0.645733047555488
2020,"Jul",259.101,2020-07-01,0.986081825303706
2020,"Aug",259.918,2020-08-01,1.30964538233071
2020,"Sep",260.28,2020-09-01,1.37132486105646
2020,"Oct",260.388,2020-10-01,1.18206616772748
2020,"Nov",260.229,2020-11-01,1.17453578426797
2020,"Dec",260.474,2020-12-01,1.36200549471931
2021,"Jan",261.582,2021-01-01,1.39976974156009
2021,"Feb",263.014,2021-02-01,1.6762152173745
2021,"Mar",264.877,2021-03-01,2.61976250895919
2021,"Apr",267.054,2021-04-01,4.15969483870211
2021,"May",269.195,2021-05-01,4.99270653759448
2021,"Jun",271.696,2021-06-01,5.39145141332133
2021,"Jul",273.003,2021-07-01,5.36547523938541
2021,"Aug",273.567,2021-08-01,5.251271554875
2021,"Sep",274.31,2021-09-01,5.39034885507916
2021,"Oct",276.589,2021-10-01,6.22186890332889
2021,"Nov",277.948,2021-11-01,6.80900283980648
2021,"Dec",278.802,2021-12-01,7.03640286554513
2022,"Jan",281.148,2022-01-01,7.47987246828911
2022,"Feb",283.716,2022-02-01,7.87106389773928
2022,"Mar",287.504,2022-03-01,8.54245555484244
2022,"Apr",289.109,2022-04-01,8.25862934088237
2022,"May",292.296,2022-05-01,8.58151154367652
2022,"Jun",296.311,2022-06-01,9.05975796478415
2022,"Jul",296.276,2022-07-01,8.52481474562552
2022,"Aug",296.171,2022-08-01,8.26269250311623
2022,"Sep",296.808,2022-09-01,8.20166964383362
2022,"Oct",298.012,2022-10-01,7.74542733080491
2022,"Nov",297.711,2022-11-01,7.11032279419173
2022,"Dec",296.797,2022-12-01,6.45440133141082
