17,        Government social benefits to persons,1221,1247.1,1259.9,1276.2,1294.6,1312.6,1335.5,1341.2,1379.6,1400.6,1409.8,1427.9,1464.4,1486,1501,1512.3,1566.7,1583.2,1608.5,1613.8,1680.2,1680.4,1700.2,1728.6,1768.2,2113,1905.3,1890.8,2001.9,2140,2136.9,2152.1,2262.2,2268.7,2292,2302.7,2313,2312.1,2303.2,2312.2,2296.8,2321.8,2325.6,2346.1,2365.7,2378.3,2396,2403.7,2433.2,2484.5,2524.6,2552.1,2597.7,2633.9,2647.8,2661.2,2686.2,2706.5,2726.3,2750.1,2779.1,2789.7,2823.4,2837.6,2891.7,2916.6,2939.2,2958.7,3048.6,3082.7,3107.3,3120.1,3169.8,5512,4344.3,3722.2,5962.9,4305.7,4064.4,3852.5,3797.7,3809.1,3823,3928.7
18,            Social security2,442.9,445.5,448.1,451.2,458.1,463.1,464.8,468.1,479.7,484.8,486.2,491.4,506.5,512.9,514,517.5,538,543.7,546.1,548.6,568.3,575,578.2,581.1,597.3,602.9,608.9,613.1,651.9,662.4,667.9,675.7,678.9,689.3,693.6,699,703.1,712,716,721.8,753.2,759.4,765.1,770.8,790,795.2,802.3,808.6,824.8,831.7,836.5,845.6,861.8,868.5,873.9,882.9,886.1,893.2,899.4,907.2,916.3,922,929.3,936.7,960.8,968.3,976.6,983.9,1019.2,1026.6,1034.4,1042.8,1068.2,1074.9,1080.3,1088.2,1105.7,1109.4,1116.8,1126.5,1198.7,1206.9,1214.6,1225.6
19,            Medicare3,254.1,257.9,261.6,265.2,268.9,273.4,279,285.5,293,300.4,308.6,315.4,323.2,329.2,335.1,341,389.6,395.6,402.1,409.1,416.4,424.1,432,440.3,448.8,457.3,465.9,474.5,482.9,490.4,496.7,501.8,506,510.5,515.7,521.4,527.6,533.4,538.5,542.9,547,551.6,557.1,563.4,570.3,567.1,573.7,580.2,587.5,595.6,604,612.8,622.4,631.5,639.5,646.4,652.4,658.6,665.2,672.2,678.5,687.4,696.3,705.1,714.3,725.6,739.2,755.3,772.6,785.8,793.7,796.3,795.3,808,822.1,837.5,857.6,875.4,889.5,900,908,911.8,920.3,941.6
20,            Medicaid,244.9,243.8,251.1,260.3,260.7,260.1,271.7,265.7,283.4,293,288.3,294.5,301.3,310.8,300.1,305.4,291.3,294.9,308.7,301.4,332.5,314.7,319.6,329.9,331.6,339.2,340.8,341.8,358.4,368.9,378.2,372.8,382.1,385.7,405.6,414.1,418.8,409.7,396.4,399.3,400.6,421.7,419,428.9,424.8,438.4,448.2,448.6,459.5,481.5,507.2,515.3,523.6,537.9,540.4,541.8,550.5,558.8,566.5,575.3,572.4,567.9,578.8,575.8,581.9,592.6,595,589.5,598.7,614.4,622.4,620.7,606.6,654.7,690.7,678.3,704.4,744.8,748.2,745,763.1,789.5,786.1,796.2
21,            Unemployment insurance,42.8,60.5,56.9,53.7,51.8,55.2,54.2,51.5,42.3,35.9,34.7,32.9,32.1,30.9,31.6,32.5,30.3,29.5,30.6,31.1,32.3,31.8,32.8,34,36.3,38.2,58.2,71.9,101.6,130.3,144.4,148.6,159.3,141.2,131,123.9,116.7,109.3,102.9,99.8,94.6,86.3,78.4,75.1,69,64.8,59.1,57.1,39,35.8,34,33,32.9,32.4,32.5,32.4,32.4,32.3,32.1,31.3,31.3,29.6,29.6,30.3,29.7,27,26.5,27.8,29.4,26.9,26.4,27.7,40.7,1007.5,792.9,308.5,556.2,448.6,245.1,33.8,23.6,18.6,18.5,20.4
22,            Veterans' benefits,28.6,29.3,29.9,30.4,31.2,31.7,32.2,32.2,33.3,33.7,34.4,34.8,36,36.2,36.6,36.8,38.2,38.7,39.1,39.5,40.5,41.7,41.9,42.6,44,44.7,45.5,45.9,49.6,50.4,52.1,54.1,55.9,57.2,58.9,59.9,61.6,62.4,64.6,64.5,67.2,69,71.3,72.9,76.5,78.4,80.5,80.9,81.4,83.3,85,87,90.2,92.5,93.6,94,93.8,94.8,97.3,101.2,105.8,110.4,113.7,115.7,117,118.5,120.5,122.9,125.7,129,132.5,136.5,140.6,144.2,147.3,149.8,151.8,153.3,155.1,156.4,157.7,159.7,161.7,164
23,            Other,207.6,210.1,212.3,215.4,224,229,233.7,238.2,248,252.7,257.7,258.8,265.4,266,283.6,279,279.3,280.8,281.8,284,290.2,293,295.6,300.8,310.3,630.8,386,343.7,357.5,437.5,397.6,399.2,480,484.9,487.3,484.4,485.2,485.4,484.8,484,434.2,433.9,434.6,435,435.2,434.3,432.2,428.2,441,456.7,457.9,458.4,466.8,471.2,467.9,463.8,471,468.7,465.9,462.9,474.7,472.4,475.8,474,487.9,484.6,481.3,479.3,503.1,500.1,498,496.2,518.4,1822.6,811,659.8,2587.1,974.2,909.6,890.9,746.6,722.7,721.7,780.8
24,"        Other current transfer receipts, from business (net)",39.1,35.2,32.3,30.2,29.6,28,25.5,22,17.5,15.4,15.7,18.4,23.7,26.7,27.3,25.6,21.6,19.7,19.9,22.1,26.5,30,32.5,34.1,34.7,35.4,36.1,36.9,37.8,38.6,39.4,40.2,41,42.4,44.1,47.4,48.8,49.5,48.9,47,43.5,41,39.1,38.1,37.8,37.9,38.5,39.5,40.9,42.2,43.6,45,46.4,48.5,51.3,54.8,59.2,61.2,60.7,57.8,52.4,48.5,46.3,45.8,47,48.7,50.9,53.7,57.1,57.6,55.4,50.4,42.6,44.4,41.4,48,59.5,76,75.2,73.2,71.1,74.1,69.8,69.5
25,"    Less: Contributions for government social insurance, domestic",743.1,751.5,754.3,757,763.3,773.9,783.8,796.1,809.2,823.6,839.2,844.9,858.1,866.3,879.5,889.5,913.2,918.1,922.6,936.2,955.7,957.3,960.6,972.1,984,986.2,991.5,991.7,959.8,966.3,963.8,967.2,973.6,984.5,987.4,989.5,911.8,914.5,922.9,917.4,940.3,944.7,947.6,969.4,1090.6,1103.1,1106.3,1117.2,1139.8,1144.5,1156.1,1173.8,1188.9,1200.9,1210.9,1218.3,1225.3,1231.4,1242.5,1256,1277.2,1289.7,1304.9,1323.9,1343.8,1353.6,1370.3,1378.7,1410.6,1418,1425.4,1444.4,1470.6,1400.3,1447.8,1481.3,1491.6,1521.7,1554,1595.8,1634.7,1654.4,1695.6,1721.1
26,Less: Personal current taxes,1075.2,1051,1044.1,1038.4,1021.3,1020.8,950.7,1021.3,1012.3,1026.8,1064.4,1091.6,1172.3,1196.3,1225.5,1255.8,1320.5,1351.3,1358.6,1397.5,1466.5,1495.9,1498.9,1508.6,1535.1,1552.5,1497.5,1444.9,1202.4,1131.1,1135.3,1140.7,1191.8,1213.2,1256.3,1289.1,1426.6,1445.9,1471.4,1470.9,1468.3,1487.7,1510,1572,1650,1682.5,1674.9,1698.1,1744.8,1758.4,1798.6,1836.5,1904.6,1943,1947.3,1964.9,1924.6,1943.4,1972,1992.9,2004.1,2012,2054.8,2123.6,2072.8,2057.7,2086,2083.1,2160.2,2221.6,2195.8,2216,2249.1,2098.2,2237.5,2360.7,2509,2638.5,2693.2,2806.1,3145.5,3188.5,3236.5,3232.3
27,Equals: Disposable personal income,7966.4,8090.3,8144.2,8234.2,8292.3,8404.8,8608.3,8674.5,8780.1,8931,9039.2,9231.7,9172.9,9320.5,9460.6,9615.9,9860.6,9985,10077.1,10188.3,10357.5,10492.8,10570.4,10694.8,10800.2,11117,11011.1,10951.9,10854.7,10956.2,10898,11003.3,11129.4,11331.4,11425.7,11541.1,11749.3,11834.7,11942.3,12016,12317.9,12458.2,12412.6,12830.5,12369.5,12470.5,12569.2,12659.9,12880.3,13116.2,13300.9,13470.6,13593.2,13696.9,13809.6,13881.4,13994,14058.7,14179.6,14322.4,14547.9,14728.6,14866.6,15021.8,15282.2,15493,15714.5,15945.8,16185.2,16283.3,16459.6,16626.3,16784.6,18381.2,17781.7,17436.2,19586.5,18277.8,18312,18356.1,18174.4,18389.8,18733,19136
28,Less: Personal outlays,7520.6,7606.2,7691,7767.3,7859.7,7957.7,8117.1,8218.8,8356.6,8460.5,8603.8,8779.3,8891,9054.8,9229.1,9322.9,9474,9612.8,9750.4,9839.1,9988.2,10109.8,10232.7,10374.1,10433.3,10549.4,10578.1,10306,10214,10203.1,10335.7,10400.7,10495.1,10596.1,10685.3,10813.9,10937.9,11054.1,11135.2,11191.2,11342.4,11390.1,11441.9,11552.6,11651.9,11678,11766.6,11908.6,12019.9,12192.4,12350.2,12481.9,12518.3,12669.2,12799.7,12854.5,12947.8,13089.1,13218.4,13348,13517.5,13614.6,13747.6,13990.1,14185.1,14368.7,14521.2,14639.3,14679.9,14872.7,15037.8,15177.4,14983.4,13529.1,14857.8,15044.1,15597.8,16299.3,16643,17019,17389.5,17798.7,18124.5,18377.2
29,    Personal consumption expenditures,7217.7,7308,7397.1,7473,7567.2,7661.5,7820.9,7913.5,8048.8,8147.1,8283.3,8448.6,8551.7,8701.1,8868.1,8955.3,9100.2,9227.6,9353.8,9427.4,9572.1,9678.7,9798.4,9937.1,10004.4,10129.9,10159.1,9906.9,9815,9805.5,9939.4,10005,10101.8,10208.1,10300.8,10430.3,10558.2,10673,10755,10809.2,10959.3,11005.1,11059.4,11165.7,11265.6,11291,11379.2,11518.4,11618.1,11784.7,11934.3,12053.8,12083.9,12224.7,12347.8,12397.5,12495.1,12637.4,12759.1,12881.6,13049.4,13134,13260.3,13490.7,13677.3,13850.8,13988.8,14102.9,14145.9,14323.7,14482.2,14619,14440.2,13049.8,14388.7,14586,15131.5,15813.5,16147.3,16518,16874.8,17261.3,17542.7,17749.9
30,    Personal interest payments4,207.8,202.4,197.3,194.8,194.4,196.3,196.8,198.5,200.5,202.8,207.9,217.9,227.7,234.9,241.8,244.9,257.8,258.4,271.1,280.5,280,293.6,295.3,296.1,284.6,273.4,272.3,257.7,254.3,253,252.4,251.7,248.3,244.4,239.8,236.8,232,231,228.8,228,228.4,229.2,230.5,230.3,230.1,229.2,229.2,229.6,236.7,239.8,244.4,254.1,253.9,261.3,266.9,271.9,266.9,271.3,275,278,280.5,287,292.9,301.1,308.7,315.2,327.4,329.4,328.5,337.2,346.8,345.6,337.4,273,272.5,254,258.3,275.5,281.1,282.8,293.5,313.1,357.1,402.6
31,    Personal current transfer payments,95.1,95.8,96.6,99.5,98.1,100,99.4,106.9,107.3,110.6,112.6,112.8,111.6,118.8,119.3,122.7,116.1,126.8,125.6,131.3,136.1,137.5,139.1,140.9,144.2,146.2,146.7,141.3,144.8,144.5,144,144,144.9,143.6,144.7,146.8,147.7,150.1,151.4,154,154.7,155.8,152.1,156.6,156.2,157.9,158.2,160.7,165.1,167.9,171.5,174,180.5,183.2,185,185.1,185.9,180.4,184.4,188.5,187.6,193.6,194.3,198.3,199,202.7,205,207,205.5,211.8,208.8,212.8,205.8,206.3,196.6,204,208.1,210.2,214.5,218.2,221.3,224.2,224.7,224.7
32,        To government,55.2,56,56.8,57.6,58.5,59.7,61.1,62.7,64.8,66.4,67.7,68.7,70.3,71.2,72.1,73,74.4,74.9,75.5,76.3,78,78.8,79.6,80.3,80.5,81,81.2,81.2,80.6,80.3,79.9,79.5,79.5,79.3,79.3,79.5,80.4,81.5,82.7,84.1,85.2,86.3,86.9,86.8,86.6,86.8,87.5,88.9,90.9,92.6,94.2,95.7,99.4,100.7,101.6,101.9,103,103.1,103.4,104,105.4,106.1,107.1,108.5,110.7,112.3,113.9,115.5,116.8,117.4,117,115.5,110,108,107,107.3,108.3,109.6,111,112.4,114.1,115.4,116.4,117
33,        To the rest of the world (net),40,39.8,39.8,42,39.6,40.3,38.3,44.1,42.5,44.3,45,44.1,41.3,47.7,47.2,49.7,41.7,51.9,50,54.9,58.1,58.6,59.5,60.6,63.7,65.2,65.6,60.2,64.2,64.3,64.1,64.5,65.4,64.3,65.4,67.2,67.2,68.6,68.7,69.9,69.5,69.5,65.2,69.7,69.6,71.1,70.6,71.9,74.2,75.3,77.2,78.3,81,82.5,83.5,83.2,82.9,77.4,80.9,84.5,82.3,87.5,87.2,89.8,88.3,90.4,91.2,91.5,88.7,94.4,91.8,97.2,95.8,98.3,89.6,96.8,99.8,100.6,103.6,105.8,107.2,108.8,108.3,107.6
34,Equals: Personal saving,445.7,484.2,453.2,466.8,432.6,447.1,491.2,455.7,423.5,470.5,435.4,452.4,281.9,265.6,231.4,293,386.6,372.3,326.6,349.1,369.3,383,337.6,320.7,366.9,567.5,433,646,640.7,753.2,562.2,602.6,634.3,735.4,740.5,727.2,811.4,780.7,807.1,824.8,975.5,1068.1,970.7,1278,717.6,792.5,802.6,751.3,860.4,923.8,950.7,988.7,1074.9,1027.7,1009.9,1027,1046.2,969.6,961.2,974.3,1030.3,1114,1119,1031.7,1097.1,1124.3,1193.3,1306.5,1505.3,1410.6,1421.8,1448.9,1801.2,4852.1,2923.9,2392.1,3988.7,1978.6,1669.1,1337.1,784.9,591.1,608.5,758.8
35,    Personal saving as a percentage of disposable personal income,5.6,6,5.6,5.7,5.2,5.3,5.7,5.3,4.8,5.3,4.8,4.9,3.1,2.9,2.4,3,3.9,3.7,3.2,3.4,3.6,3.6,3.2,3,3.4,5.1,3.9,5.9,5.9,6.9,5.2,5.5,5.7,6.5,6.5,6.3,6.9,6.6,6.8,6.9,7.9,8.6,7.8,10,5.8,6.4,6.4,5.9,6.7,7,7.1,7.3,7.9,7.5,7.3,7.4,7.5,6.9,6.8,6.8,7.1,7.6,7.5,6.9,7.2,7.3,7.6,8.2,9.3,8.7,8.6,8.7,10.7,26.4,16.4,13.7,20.4,10.8,9.1,7.3,4.3,3.2,3.2,4
,Addenda:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
